col1|col2|col3|col4|col5|col6|col7|col8|col9|col10|col11|col12|col13|col14|col15|col16|col17|col18|col19|col20
40|63|73|16|16|30|60|72|41|75|67|57|15|61|14|22|94|87|33|16
89|70|21|69|96|77|81|92|97|81|25|92|49|10|83|64|58|79|69|38
24|88|65|35|41|31|81|84|99|93|20|52|26|39|67|62|75|59|94|32
76|96|47|40|95|100|18|51|28|80|86|100|63|20|53|13|27|56|18|2
95|26|80|55|10|80|29|43|61|17|29|43|28|52|89|15|9|58|92|29
4|71|29|26|40|73|66|42|44|58|50|80|4|28|34|61|34|88|50|53
37|56|82|4|100|80|37|56|48|40|65|35|4|74|69|60|13|5|61|33
5|28|56|47|39|13|68|36|16|98|72|32|28|56|52|67|18|18|1|37
82|79|100|46|94|32|17|10|82|59|48|90|69|13|92|79|57|12|94|85
84|19|8|22|67|36|77|56|29|82|24|86|55|55|4|90|10|38|74|3
2|100|10|48|98|53|86|31|31|45|2|41|56|56|47|80|60|92|15|29
14|59|48|17|4|18|87|57|11|22|76|58|56|19|25|92|11|95|83|67
23|66|17|86|12|49|38|39|52|62|96|71|33|31|12|13|91|14|37|5
56|17|39|86|39|10|16|59|27|31|93|16|82|81|92|49|5|45|17|74
43|60|79|99|33|31|40|42|27|97|32|60|41|85|47|25|10|16|95|4
53|16|95|45|21|99|73|67|26|97|25|86|84|77|94|42|2|47|17|62
79|25|100|20|12|81|29|85|24|93|87|64|76|68|71|44|26|68|36|33
5|100|48|87|70|43|11|46|5|75|53|75|57|2|28|5|84|85|94|79
45|52|49|35|87|94|90|38|19|38|16|3|51|93|67|57|23|24|75|45
8|66|88|93|47|19|52|29|37|9|54|52|51|2|16|8|23|57|48|48
29|57|24|90|59|90|29|61|83|87|47|45|50|78|49|73|3|76|73|9
9|70|90|26|64|100|92|76|57|11|60|13|28|5|15|13|10|41|27|48
95|55|26|8|39|77|32|64|81|89|31|91|20|53|42|67|29|91|11|51
57|6|28|41|8|71|99|42|51|46|12|14|33|31|62|88|95|38|22|35
22|43|43|44|38|56|100|79|78|90|3|70|98|100|87|51|20|2|8|80
60|66|75|2|94|95|40|51|90|16|57|16|41|42|92|93|38|93|19|75
4|77|60|84|32|76|67|74|39|51|32|29|18|6|29|95|43|80|31|5
93|88|45|37|55|4|74|98|82|19|70|92|10|1|56|41|60|26|42|53
7|23|2|26|33|7|90|42|88|67|35|93|53|97|56|16|42|80|34|98
61|50|47|31|88|36|42|66|14|74|25|29|72|48|70|77|46|10|34|70
9|4|10|19|26|24|57|86|19|100|68|48|65|84|51|36|94|37|44|30
80|20|25|42|48|5|48|4|11|63|44|24|48|17|96|10|21|40|21|44
22|99|69|56|8|54|26|23|96|2|32|4|19|98|83|74|76|28|99|9
28|9|43|8|39|44|15|45|14|26|4|42|29|47|50|95|83|72|84|27
66|66|90|14|92|78|38|61|56|100|100|9|37|59|40|36|42|21|77|58
58|26|72|69|45|87|22|46|55|88|67|75|43|38|10|23|67|89|40|15
1|58|34|49|16|11|70|80|92|54|89|90|85|66|68|48|2|94|92|15
26|86|41|75|78|9|91|17|25|6|85|41|6|71|86|38|29|30|36|76
82|30|46|55|94|83|87|93|98|6|58|34|54|12|67|36|15|79|78|40
75|92|23|16|45|59|68|21|90|15|26|5|94|96|28|10|37|59|15|68
96|83|90|68|45|15|29|73|61|87|91|19|16|30|5|10|94|29|72|57
66|22|66|79|19|56|53|81|73|96|4|84|97|20|10|66|70|85|68|62
