col1|col2|col3|col4|col5|col6|col7|col8|col9|col10|col11|col12|col13|col14|col15|col16|col17|col18|col19|col20|col21|col22|col23|col24|col25|col26|col27|col28|col29|col30|col31|col32|col33|col34|col35|col36|col37|col38|col39|col40|col41|col42|col43|col44|col45|col46|col47|col48|col49|col50|col51|col52|col53|col54|col55|col56|col57|col58|col59|col60|col61|col62|col63|col64|col65|col66|col67|col68|col69|col70|col71|col72|col73|col74|col75|col76|col77|col78|col79|col80|col81|col82|col83|col84|col85|col86|col87|col88|col89|col90|col91|col92|col93|col94|col95|col96|col97|col98|col99|col100|col101|col102|col103|col104|col105|col106|col107|col108|col109|col110|col111|col112|col113|col114|col115|col116|col117|col118|col119|col120|col121|col122|col123|col124|col125|col126|col127|col128|col129|col130|col131|col132|col133|col134|col135|col136|col137|col138|col139|col140|col141|col142|col143|col144|col145|col146|col147|col148|col149|col150
78|36|5|59|39|92|72|74|85|41|19|47|4|62|82|20|33|11|86|41|93|77|18|57|19|36|69|2|18|58|99|18|7|66|52|54|27|4|23|92|31|4|65|29|19|7|17|30|49|33|68|74|19|98|90|59|96|48|84|29|95|34|18|53|1|88|39|71|43|77|34|61|81|69|8|70|22|8|72|100|71|18|15|75|22|62|17|82|5|68|10|45|19|53|82|8|41|38|37|10|88|52|93|34|19|48|66|60|83|21|76|13|80|61|94|59|91|25|45|72|56|30|93|94|10|22|63|32|91|3|100|55|82|4|100|48|51|56|74|97|90|18|24|27|61|64|63|20|58|81
34|96|66|31|57|53|93|72|30|17|96|50|69|60|41|20|13|39|14|64|17|32|77|10|95|18|85|76|100|40|97|80|60|24|28|39|14|3|36|41|48|72|100|71|54|41|70|43|65|69|20|28|47|95|64|100|14|88|93|57|91|13|18|5|4|72|19|69|57|23|68|83|25|10|7|58|63|92|22|41|87|87|55|80|40|99|32|37|7|99|23|13|90|6|25|11|50|23|94|26|14|24|39|82|81|31|12|78|60|41|73|78|94|74|99|62|96|76|89|40|32|86|86|100|18|14|97|12|94|95|88|47|94|14|52|31|14|70|43|63|54|31|7|59|14|36|48|98|35|51
45|30|7|52|81|57|66|10|11|63|81|34|89|3|32|69|76|9|93|25|43|45|63|42|38|72|51|96|9|74|3|1|45|76|26|81|63|37|36|87|15|69|5|30|85|87|65|92|91|84|76|82|97|99|6|16|7|72|1|94|76|3|97|11|29|69|6|36|64|93|43|91|12|16|4|88|75|18|78|23|66|59|60|59|90|88|77|100|70|32|62|85|91|7|33|24|80|23|80|78|58|23|1|86|52|40|44|30|61|65|7|30|20|17|64|61|68|64|77|5|14|20|65|22|100|26|60|69|80|27|47|54|23|93|9|32|13|96|50|13|25|86|21|85|33|38|35|62|53|92
1|15|99|23|56|45|43|55|43|42|63|18|61|17|46|23|86|50|87|56|8|63|43|41|12|67|57|19|90|49|76|61|21|4|6|97|78|76|92|65|69|36|95|50|41|1|68|33|97|76|19|8|24|54|10|97|7|56|21|32|94|62|70|84|28|70|89|82|40|87|2|71|15|75|80|87|4|97|81|59|88|12|59|3|70|42|70|88|30|69|90|21|87|6|49|23|52|50|95|3|63|100|18|9|86|81|72|91|48|7|100|35|67|13|13|84|50|48|24|3|84|82|33|19|12|43|50|68|82|52|14|19|53|70|47|96|49|14|78|20|8|74|72|91|46|62|76|57|1|36
40|7|63|37|41|53|35|37|97|85|11|57|43|23|3|84|85|51|43|64|33|52|95|25|39|5|30|39|45|98|74|92|83|39|60|50|65|76|49|2|9|11|25|84|72|20|16|94|26|4|70|38|100|31|13|40|32|59|74|95|51|10|26|99|56|75|21|79|35|34|8|87|28|41|9|64|30|46|16|29|7|51|20|16|42|48|54|29|53|32|37|81|55|99|25|43|63|68|36|40|21|38|16|62|52|66|75|39|85|37|83|63|90|29|19|31|21|15|49|50|91|50|39|21|59|73|71|26|93|17|85|92|50|25|34|87|96|85|9|21|16|60|44|43|1|35|99|88|19|47
16|4|8|40|59|90|26|60|62|58|68|82|41|71|72|11|19|66|72|10|79|69|26|46|91|70|90|66|2|4|71|4|10|34|82|35|22|64|74|39|100|21|19|2|4|78|89|44|62|87|31|15|77|69|4|7|79|31|40|88|40|86|36|69|4|17|74|37|4|5|12|55|90|46|15|64|14|53|90|96|94|11|97|21|50|58|77|56|64|52|37|76|11|89|91|51|30|26|10|41|83|55|43|95|78|96|75|35|98|44|28|53|99|57|42|18|15|36|23|96|66|66|47|20|23|15|49|56|98|65|88|82|31|63|84|61|71|61|47|43|84|46|25|59|49|99|11|53|48|60
19|8|89|21|90|91|73|15|65|19|98|10|67|64|51|11|97|81|6|67|60|88|76|48|68|91|61|91|2|32|41|41|92|18|12|13|72|82|98|6|97|44|34|70|51|90|92|93|8|53|39|94|12|41|6|50|4|43|34|21|87|64|73|30|89|25|89|89|6|10|90|75|67|80|36|75|8|66|35|69|14|94|85|71|97|39|62|21|47|59|67|56|35|69|48|74|90|18|22|4|53|46|43|26|60|29|11|21|29|26|92|26|14|51|36|8|50|3|14|66|90|8|50|51|33|62|64|50|5|71|53|89|90|21|3|35|45|68|74|21|92|22|76|1|86|60|58|56|28|64
100|1|40|22|18|31|80|12|39|99|26|26|98|72|45|70|24|44|72|65|19|60|58|33|36|80|42|40|51|86|44|1|40|84|37|29|27|1|83|51|1|38|52|3|25|66|37|74|43|2|29|81|62|74|51|61|66|67|5|19|51|50|94|35|36|91|92|69|39|44|68|85|73|5|56|18|42|85|45|85|53|58|26|55|1|16|17|44|18|37|33|80|15|49|83|73|48|8|45|37|14|6|47|12|74|9|21|55|21|11|21|30|90|64|55|76|87|10|82|28|21|46|25|6|76|6|32|97|65|70|49|77|87|84|91|40|44|38|98|49|77|34|62|13|27|1|71|48|8|62
89|41|50|36|13|77|16|51|76|32|92|41|86|48|12|83|6|30|38|44|16|82|30|26|7|88|13|82|89|99|19|65|99|75|93|69|72|32|7|40|69|14|53|65|14|56|35|17|76|60|100|43|80|90|35|24|64|89|21|18|98|42|98|82|56|27|10|10|74|8|3|2|1|93|58|6|12|37|83|32|39|79|66|52|26|47|92|54|20|61|13|74|96|80|4|44|72|18|40|5|41|38|18|51|74|96|42|75|55|56|46|92|20|82|56|75|43|75|65|46|91|5|10|2|26|59|31|78|61|47|60|100|25|50|92|12|46|34|83|59|25|49|57|84|87|21|84|18|84|27
61|38|38|38|4|53|3|24|95|6|67|72|42|30|75|24|34|67|31|12|48|18|60|59|36|25|77|88|52|100|79|83|98|1|2|89|1|79|95|89|99|97|44|11|54|32|42|55|18|23|43|77|87|40|84|5|75|21|90|55|38|27|50|4|29|88|82|79|87|94|28|9|21|39|44|26|98|35|71|12|34|41|74|83|71|81|22|52|26|23|18|10|23|35|100|82|19|44|49|62|27|82|86|96|78|21|7|38|94|31|49|44|4|52|19|7|87|12|80|2|78|76|28|33|89|44|86|76|64|91|58|89|52|5|10|76|69|43|12|77|45|80|36|95|72|7|18|60|69|53
45|38|51|26|37|71|87|19|89|14|72|23|86|39|54|32|48|31|75|11|60|83|23|99|45|26|69|46|85|93|86|6|56|31|73|49|87|9|89|6|67|33|11|58|72|47|32|49|89|21|59|84|68|73|57|100|31|88|58|27|72|4|44|7|59|80|30|67|17|51|41|83|21|36|18|51|5|67|53|36|62|85|68|48|57|6|13|27|41|94|60|17|3|30|87|60|18|4|19|41|5|43|84|33|4|24|36|84|19|47|10|90|7|84|47|55|40|77|33|22|10|50|70|21|86|13|83|24|53|79|28|90|73|81|37|73|32|30|63|86|29|19|25|59|98|98|25|77|89|4
75|53|64|31|16|88|89|13|70|25|36|32|87|42|99|28|60|11|8|35|71|78|95|46|46|54|37|12|44|16|5|88|16|71|79|20|64|47|18|34|73|35|69|23|81|39|28|64|33|53|49|36|16|97|65|3|35|16|32|1|8|53|11|8|48|3|87|58|97|81|74|44|8|64|38|4|74|54|18|2|36|84|23|37|26|80|59|60|37|15|27|2|64|74|31|46|8|43|21|67|42|29|22|57|85|57|32|90|50|31|98|12|86|61|83|53|60|59|59|24|2|84|71|37|43|51|99|87|67|44|22|9|75|84|62|38|57|76|55|11|15|1|52|80|30|70|73|29|10|57
43|31|57|75|83|99|52|59|68|81|68|48|5|24|97|44|99|38|52|85|16|39|14|22|78|77|62|49|1|71|68|45|7|28|66|21|42|40|32|38|5|84|29|11|95|77|1|68|64|79|57|40|73|68|73|20|27|74|84|91|84|34|17|64|4|69|87|52|43|95|4|2|26|77|94|64|2|35|85|95|37|62|71|25|68|23|88|34|75|10|42|33|90|24|25|28|43|67|7|96|95|46|69|41|35|34|21|83|65|50|1|57|51|32|81|91|90|6|49|57|5|44|66|38|12|22|78|11|70|82|32|4|14|75|79|26|88|19|32|92|87|75|81|33|31|41|82|28|82|18
34|91|36|34|39|9|37|53|39|35|39|93|69|88|32|66|100|46|23|100|32|31|8|83|68|68|86|48|97|96|67|16|37|19|6|70|29|54|39|87|60|9|61|6|99|76|31|69|65|27|16|30|53|7|59|29|55|41|97|67|22|20|26|21|96|92|13|75|99|87|72|33|71|9|30|71|50|23|26|100|30|99|5|5|85|81|22|45|57|31|16|53|73|17|33|85|18|43|58|95|21|70|26|81|24|62|93|64|67|31|72|50|72|31|65|33|83|68|39|23|26|70|99|51|76|7|23|2|16|42|57|42|97|29|42|8|10|42|52|19|63|79|63|8|68|51|55|54|3|71
20|69|95|16|14|47|4|40|86|94|51|68|10|47|4|25|98|4|80|50|74|2|33|15|81|9|84|37|9|70|85|15|63|50|67|97|35|3|20|40|72|57|85|31|63|62|80|80|17|30|88|35|96|8|39|33|54|14|64|93|84|97|1|13|12|89|100|36|61|82|12|24|40|15|62|8|91|28|1|36|66|10|86|39|37|62|8|9|54|18|24|99|71|53|79|8|55|35|72|20|29|2|23|63|14|19|53|97|30|43|54|63|86|62|32|43|72|87|80|50|14|98|65|8|36|71|25|25|67|28|27|81|91|86|32|6|4|40|2|92|100|77|80|93|70|11|10|49|52|42
64|69|37|5|14|84|9|7|35|25|98|22|74|57|63|56|7|74|22|69|86|29|53|20|22|34|4|73|55|74|62|42|72|82|67|20|64|5|6|8|58|83|86|48|67|68|98|55|16|11|67|99|91|99|48|70|47|70|29|25|92|28|72|78|66|93|68|92|76|4|63|18|8|93|15|83|44|45|62|51|16|21|54|11|10|26|94|26|51|23|52|28|19|35|77|25|48|8|12|39|53|73|4|97|45|47|42|31|57|13|93|51|32|33|87|70|12|41|42|33|7|90|73|21|53|12|20|97|20|37|42|70|3|95|25|86|14|56|81|22|85|80|53|9|92|60|46|5|7|13
44|88|79|100|20|38|43|73|29|69|9|92|5|51|79|82|58|80|61|62|30|84|57|7|100|63|53|74|97|36|84|76|57|33|66|36|43|19|31|37|91|52|18|27|48|71|20|65|53|44|12|33|92|65|20|97|77|38|50|28|83|47|22|88|6|51|75|48|69|68|1|81|38|97|30|22|75|96|65|57|32|1|58|92|24|14|42|21|19|46|64|21|34|90|82|95|81|33|65|48|23|17|54|18|15|38|7|75|21|6|90|91|96|39|96|95|82|75|64|37|94|33|76|34|18|45|34|13|71|93|2|68|78|82|19|31|86|60|13|40|35|1|24|63|91|36|74|53|11|100
86|71|17|76|71|47|78|8|96|91|80|70|10|11|11|34|79|82|59|35|60|96|38|90|14|3|45|47|55|15|22|56|30|82|95|25|93|45|19|21|64|79|44|45|22|90|29|8|77|69|7|8|6|46|73|56|71|34|27|96|41|22|65|73|16|29|58|38|38|91|30|83|17|75|74|79|9|52|60|61|88|1|91|88|67|91|25|24|65|23|19|73|25|33|30|61|16|31|7|86|38|19|80|26|71|95|39|19|82|89|86|87|47|94|21|8|100|19|5|96|2|35|10|79|61|10|93|100|65|91|20|7|82|3|72|34|79|56|81|84|69|35|87|97|21|10|65|41|92|23
59|24|70|76|91|49|41|80|44|26|52|30|43|19|31|60|87|64|19|94|57|14|89|80|37|4|25|82|62|1|71|10|62|94|83|29|45|31|15|83|26|87|77|95|76|43|95|30|98|14|52|2|7|80|46|62|10|29|42|53|83|34|24|21|22|19|91|62|99|46|70|54|71|9|30|70|33|93|34|4|58|31|93|20|22|55|64|77|56|58|97|38|67|45|10|83|77|17|62|92|73|45|57|64|32|22|59|58|80|81|98|70|97|34|10|72|48|100|61|82|40|37|20|38|21|94|6|15|87|30|65|49|93|24|50|48|23|44|89|62|45|13|32|43|41|38|51|28|20|83
62|68|59|82|51|70|90|16|58|80|28|38|37|57|28|36|25|78|39|12|31|16|13|73|25|86|18|99|47|63|77|21|34|98|96|11|34|27|98|24|89|14|42|28|41|76|54|85|91|14|88|81|54|74|45|9|64|22|76|46|27|18|36|17|26|30|88|57|100|36|69|98|82|71|57|9|38|59|47|17|8|94|11|29|91|41|40|54|49|50|80|81|47|68|39|39|47|80|77|3|23|76|87|73|100|95|67|79|68|22|91|10|71|46|59|13|21|1|73|24|23|16|82|59|56|40|95|92|37|50|3|62|55|43|73|88|73|40|42|42|73|76|68|71|43|92|38|85|77|42
52|100|53|60|66|19|50|7|82|5|71|56|6|64|28|1|47|95|60|63|64|28|81|5|56|57|46|4|25|90|97|51|4|20|57|56|44|73|13|69|41|55|48|22|56|90|74|34|89|81|43|79|12|88|10|23|40|9|61|45|7|69|5|36|94|44|68|23|15|53|5|38|96|90|22|24|57|66|81|54|42|31|4|68|13|42|27|45|75|42|20|7|44|86|5|8|71|36|53|78|46|32|23|71|67|4|32|3|54|10|29|15|50|93|35|34|30|77|78|84|91|59|38|25|54|6|95|29|40|54|69|74|81|98|12|66|57|90|26|10|70|40|92|87|85|54|29|70|37|67
3|54|73|95|71|92|42|10|60|65|83|41|50|99|84|74|70|23|46|15|71|13|18|99|85|64|68|82|81|8|6|11|85|19|62|86|45|11|19|21|97|82|35|66|12|81|94|48|100|65|46|69|40|77|21|29|20|24|82|4|33|69|13|31|20|49|92|7|36|95|50|40|7|62|75|95|80|100|50|71|5|29|5|97|44|47|42|28|81|94|95|42|90|91|53|20|3|91|4|32|93|62|79|76|44|98|69|61|86|20|3|77|97|46|20|100|72|44|70|18|95|86|26|29|69|52|89|40|54|36|6|72|62|11|71|11|12|68|87|38|16|49|81|10|56|64|85|9|72|40
75|10|16|54|31|47|39|12|71|52|51|39|32|28|10|14|18|88|93|72|94|66|85|20|34|100|40|8|48|52|97|73|10|80|75|72|79|21|36|27|18|51|45|50|49|37|12|8|17|62|2|68|44|12|27|42|7|52|38|18|52|42|89|30|64|8|3|23|85|85|4|53|87|5|61|78|71|5|5|28|52|100|70|63|86|53|23|85|7|40|6|38|33|78|42|31|96|79|62|13|43|8|69|56|92|62|33|36|72|32|70|59|92|92|47|69|50|16|13|24|51|72|28|50|95|97|41|86|51|99|39|40|25|92|32|11|7|52|94|83|31|80|88|3|1|3|59|19|62|47
76|82|9|64|58|33|3|31|70|1|6|15|40|45|10|48|66|70|60|6|62|64|38|23|18|22|69|95|24|66|9|30|76|66|7|27|22|90|70|82|25|1|73|47|29|52|43|90|86|29|91|96|6|33|28|23|39|11|55|53|6|11|51|56|84|99|12|85|78|89|5|65|83|27|1|43|92|29|14|37|96|64|46|4|34|12|66|56|66|58|44|44|93|66|33|50|15|74|15|28|100|34|76|88|78|83|79|1|12|31|56|67|69|89|20|30|32|58|95|66|23|28|52|33|67|47|95|90|49|85|94|95|67|43|92|6|72|87|66|78|65|93|100|93|7|28|45|3|26|77
74|71|32|64|38|14|26|82|92|12|89|27|21|74|16|82|100|55|85|94|6|10|79|47|27|36|33|92|37|83|70|57|30|93|100|67|17|93|38|6|58|18|3|35|58|46|70|82|78|21|17|59|30|14|29|40|70|84|61|47|85|41|81|14|53|17|67|40|99|7|92|71|61|6|7|62|85|43|62|98|44|50|72|58|54|37|88|89|77|3|13|7|88|99|41|99|66|40|13|8|11|79|96|99|89|54|97|63|20|15|68|43|15|76|66|37|85|17|57|32|45|47|41|59|11|85|63|14|88|19|80|12|92|63|85|90|29|52|42|46|1|32|6|64|75|75|72|96|41|30
36|35|56|51|8|51|32|68|1|89|18|68|16|46|4|91|5|44|13|36|34|55|58|98|96|3|4|78|8|74|53|28|96|50|8|46|42|27|81|98|48|14|79|88|54|86|72|87|67|57|77|39|12|50|13|65|8|12|55|87|73|35|12|51|27|21|26|36|24|35|49|38|38|16|53|7|74|50|69|12|7|55|99|91|6|86|45|45|19|39|28|14|17|79|23|25|64|76|93|86|69|77|41|39|88|44|94|26|88|59|50|5|62|67|5|88|29|12|43|89|40|4|26|48|67|5|4|80|59|68|69|26|85|58|1|5|46|43|49|68|24|99|80|25|93|62|76|8|11|96
65|84|29|15|48|8|3|14|47|61|57|97|75|8|95|19|37|24|33|18|37|5|81|57|42|24|24|56|41|73|23|61|40|94|79|82|48|75|21|6|50|34|26|20|78|26|5|32|59|44|80|20|85|8|66|78|26|42|63|32|56|8|82|90|29|9|31|17|79|80|68|11|92|28|1|5|76|73|87|39|93|95|98|50|12|52|69|52|97|62|24|53|30|18|18|71|41|40|55|7|50|8|39|52|10|66|83|22|85|91|69|69|47|65|79|59|59|52|29|33|70|12|36|24|78|86|22|27|79|76|27|77|51|10|55|57|67|95|22|65|25|19|89|92|13|56|2|3|33|23
25|48|24|55|35|100|76|32|50|98|89|24|67|88|2|50|77|84|81|28|7|76|17|82|3|64|30|99|63|77|39|35|68|58|56|22|75|78|89|49|47|83|23|61|16|15|40|56|100|90|83|61|52|96|58|25|18|12|49|100|47|98|22|78|76|62|21|70|96|4|41|43|23|15|27|63|45|41|34|55|21|32|32|83|60|85|88|49|58|53|2|44|22|24|92|94|54|56|37|83|100|4|83|70|83|89|7|55|89|16|69|83|33|20|56|55|44|27|75|48|35|37|5|43|46|86|57|32|47|22|41|84|19|17|5|18|19|100|51|97|3|36|1|55|30|83|2|48|93|48
17|35|27|22|46|80|7|77|85|100|28|74|82|57|89|49|36|65|67|53|41|4|41|39|32|1|37|74|43|34|10|69|90|9|80|90|32|13|95|82|16|97|39|61|88|12|55|77|27|74|80|23|77|46|82|59|56|72|97|23|99|52|61|12|88|4|40|20|17|28|6|78|23|48|71|68|11|66|95|83|92|99|50|49|31|37|49|58|68|22|48|14|30|71|71|25|78|96|51|83|46|19|89|46|91|52|88|38|70|31|74|75|74|13|39|15|99|42|22|83|23|8|6|11|40|27|20|28|63|72|44|61|96|13|1|7|16|55|80|2|23|98|15|36|11|78|37|98|77|69
89|3|89|68|19|10|57|69|41|19|36|47|6|40|37|34|62|59|75|1|76|18|41|55|27|78|17|17|48|14|96|19|15|84|23|12|35|40|60|61|22|86|82|6|30|35|44|23|57|13|84|16|94|58|70|19|12|83|36|50|16|76|89|95|99|96|59|54|48|9|27|23|38|11|51|11|34|5|58|2|31|71|69|33|65|21|81|86|75|23|2|50|65|13|74|98|81|21|79|60|96|83|9|20|97|80|29|73|48|6|22|71|12|35|9|80|40|81|35|16|77|82|77|11|38|3|54|44|71|48|32|69|86|44|87|6|29|18|89|8|23|100|99|16|10|32|43|71|3|60
35|56|68|45|22|56|77|88|17|26|9|41|95|68|41|51|58|92|24|45|71|99|4|85|39|26|24|90|46|61|6|96|42|44|53|53|14|7|64|10|24|64|4|41|29|3|41|89|28|23|63|27|84|33|18|50|70|99|73|42|91|13|70|33|72|73|37|37|13|10|62|16|22|77|70|96|47|90|75|84|75|86|53|82|96|93|85|62|77|84|30|84|75|31|95|48|5|37|2|42|13|53|99|32|91|89|7|22|10|54|80|8|10|45|90|64|43|65|30|20|78|39|42|91|84|6|94|23|58|39|77|79|63|98|62|52|28|95|16|87|6|85|99|78|91|72|99|18|82|16
25|55|75|88|68|17|7|37|62|77|95|61|100|44|69|62|32|88|93|99|30|38|9|34|55|3|3|92|92|11|84|86|71|82|27|71|15|31|1|95|66|11|48|28|25|84|28|64|65|89|90|65|5|20|95|18|1|13|5|84|77|81|79|13|15|1|94|77|74|56|51|70|75|27|80|88|39|89|3|78|29|54|33|45|77|59|12|49|51|45|40|59|92|85|92|92|25|44|84|83|26|56|23|37|77|76|9|12|27|34|33|7|93|89|90|86|82|23|38|100|63|80|80|52|58|7|56|97|11|29|71|99|5|9|1|71|25|69|88|9|84|10|23|1|8|67|36|69|58|2
22|100|85|21|12|64|58|37|1|82|98|63|76|75|60|71|61|100|94|13|82|19|26|92|54|53|21|95|33|74|48|70|12|89|71|7|79|11|46|50|1|60|33|84|1|79|86|65|26|59|92|66|69|21|23|56|3|54|22|13|39|21|12|84|46|86|7|2|23|25|33|24|68|39|4|88|75|55|78|16|91|79|88|69|16|41|52|22|81|20|52|92|56|79|94|48|61|99|75|38|70|86|47|22|9|3|61|19|37|4|84|51|80|78|41|50|36|59|80|2|34|88|60|66|23|77|76|98|34|1|24|44|43|10|98|4|76|52|69|91|89|32|10|95|56|12|91|14|24|97
